"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Edouard Manet","former 10th arrondissement of Paris",1832,"Paris",1883,"male","France","artist,illustrator,painter,visual artist,architectural draftsperson,drawer,lithographer","Edouard Manet","Edouard Manet",,"Realism","Impressionism, Realism, Unknown","{Impressionism:106},{Realism:102},{Unknown:27}","{Impressionism:121},{Realism:111},{Impressionist:1}","Impressionism:1868-1879,Realism:1863-1872,Impressionist:1868-1868","{Modern art:1},{Impressionism:1},{Realism,Impressionism:232}",1858,1882,235,"Tokyo, US, Germany, Budapest, Dallas, Hungary, Kunsthalle, Boston, Vienna, VT, Sao Paulo, NY, VA, Munich, Providence, Japan, UK, Williamstown, MD, Stockholm, Greenwich, Portugal, Upperville, Norway, Chicago, Argentina, Shelburne, Sweden, Oslo, Paris, Lyon, NJ, Pasadena, Hamburg, Glasgow, CA, Belgium, Frankfurt, Australia, MO, Winterthur, Melbourne, San Francisco,London, Saint Petersburg, Kansas City, Amsterdam, Zürich, Hiroshima, Lisbon, IL, Fort Worth, Washington DC, Denmark, Switzerland, Main, Oxford, Bremen, New Haven, Cologne, Baltimore, Nancy, RI, Philadelphia, Nationalmuseum, Moscow, France,France, MA, New York City, PA, Los Angeles, Brazil, Netherlands, Russia, Berlin, Austria","{Winterthur:2},{Switzerland:6},{Lisbon:2},{Portugal:2},{New York City:7},{NY:7},{US:50},{Moscow:2},{Russia:5},{Kunsthalle:2},{Hamburg:4},{Germany:10},{Melbourne:1},{Australia:1},{Saint Petersburg:3},{London:8},{UK:14},{Glasgow:4},{Boston:6},{MA:9},{Paris:34},{France:48},{Williamstown:3},{Berlin:3},{Tokyo:3},{Japan:4},{Nancy:1},{San Francisco:1},{CA:4},{Sao Paulo:3},{Brazil:3},{Zürich:4},{Fort Worth:1},{Vienna:1},{Austria:1},{Dallas:1},{Cologne:1},{Chicago:8},{IL:8},{Greenwich:1},{Philadelphia:5},{PA:7},{Belgium:2},{Baltimore:2},{MD:2},{Los Angeles:1},{Kansas City:1},{MO:1},{Shelburne:2},{VT:2},{Nationalmuseum:2},{Stockholm:2},{Sweden:2},{Munich:2},{Washington DC:3},{Frankfurt:1},{Main:1},{Providence:1},{RI:1},{Pasadena:2},{Upperville:1},{VA:1},{Oxford:1},{Hiroshima:1},{Amsterdam:1},{Netherlands:1},{Oslo:1},{Norway:1},{Bremen:1},{New Haven:1},{Budapest:1},{Hungary:1},{NJ:1},{Argentina:1},{Denmark:1},{Lyon:1}",,"Gustave Courbet,El Greco,Caravaggio,Eugene Delacroix,","Edward Hopper,Ilya Repin,Paul Gauguin,Edgar Degas,Pierre-Auguste Renoir,Louise Abbéma,",,,"Berthe Morisot,Henri Fantin-Latour,Claude Monet,Edgar Degas,Carolus-Duran,","['Amsterdam', 'Haarlem', 'Rio de Janeiro', 'Venice', 'Florence', 'Paris', 'Zaltbommel']","[]","Edouard Manet"
"Eva Gonzales","Paris",1847,"Paris",1883,"female","France","artist,painter,art model,pastellist","Eva Gonzalès","Eva Gonzales","French","Impressionism","Impressionism","{Impressionism:23}","{Impressionism:23}","Impressionism:1865-1882","{Impressionism:23}",1865,1882,23,"US, Germany, Washington DC, Bremen, Bristol, UK, Paris, France","{Bristol:1},{UK:1},{Washington DC:1},{US:1},{Bremen:1},{Germany:1},{Paris:1},{France:1}",,,,,,,"['Dieppe', 'Paris', 'Honfleur']","[]","Eva Gonzales"
"Georges Seurat","former 5th arrondissement of Paris",1859,"boulevard de Magenta",1891,"male","France","painter,architectural draftsperson,drawer","Georges Seurat","Georges Seurat","French","Neo-Impressionism","Impressionism, Neo-Impressionism, Neoclassicism, Pointillism, Post-Impressionism, Unknown","{Impressionism:29},{Neo-Impressionism:92},{Neoclassicism:2},{Pointillism:1},{Post-Impressionism:42},{Unknown:7}","{Pointillism/Neo-Impressionism:2}, {Post-Impressionism:54}, {Pointillism:87}, {Impressionism:32}, {Neoclassicism:2}","Post-Impressionism:1878-1884,Pointillism:1881-1890,Impressionism:1878-1884","{Neo-impressionism:2},{Post-Impressionism:176},{Modern art:3}",1877,1890,173,"London, CA, UK, Northampton, Indianapolis, Switzerland, US, Netherlands, Chicago, Washington DC, Otterlo, IL, Cambridge, Troyes, Brazil, Edinburgh, Brussels, Glasgow, MA, San Francisco, Lille, Paris, Detroit, Buffalo, MI, Philadelphia, Stockholm, Bordeaux, Liverpool, Zürich, Nationalmuseum, Belgium, Ireland, Dublin, Sweden, Pasadena, Russia, Saint Petersburg, New Haven, France, NY, IN, PA, Rio de Janeiro, New York City","{France:30},{Paris:24},{London:13},{UK:21},{Indianapolis:1},{IN:1},{US:36},{Otterlo:5},{Netherlands:5},{New York City:13},{NY:17},{Buffalo:2},{Detroit:1},{MI:1},{San Francisco:2},{CA:2},{Cambridge:4},{MA:4},{Belgium:5},{Brussels:2},{Rio de Janeiro:1},{Brazil:1},{Zürich:3},{Switzerland:3},{Philadelphia:2},{PA:3},{Chicago:5},{IL:5},{Dublin:1},{Ireland:1},{Edinburgh:3},{Saint Petersburg:1},{Russia:1},{Lille:1},{Northampton:1},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{New Haven:1},{Glasgow:3},{Washington DC:2},{Liverpool:1},{Troyes:1},{Bordeaux:1},{Pasadena:1}","Société des Artistes Indépendants (Society of Independent Artists)","Nicolas Poussin,Jean-Francois Millet,","Charles Angrand,Edvard Munch,Childe Hassam,Robert Delaunay,",,,,"['Le Crotoy', 'Brest', 'Paris', 'Port-en-Bessin-Huppain', 'Honfleur', 'Gravelines']","[]","Georges Seurat"
"Gustave Caillebotte","Paris",1848,"Gennevilliers",1894,"male","France","lawyer,engineer,sailor,painter,philatelist,graphic artist,marine architect,art collector,patron of the arts","Gustave Caillebotte","Gustave Caillebotte","French","Impressionism","Impressionism, Unknown","{Impressionism:210},{Unknown:6}","{Impressionism:207}","Impressionism:1870-1894","{Impressionism:207}",1870,1894,216,"Montpellier, CA, Dallas, Switzerland, US, Germany, MN, Chicago, IL, Colombia, Minneapolis, Geneva, Los Angeles, MA, Paris, Cologne, Boston, Pasadena, Bogotá, France, NY, Fort Worth, Rouen, New York City, Hartford","{France:13},{Paris:8},{Cologne:3},{Germany:3},{Pasadena:1},{CA:2},{US:13},{Minneapolis:1},{MN:1},{New York City:2},{NY:2},{Bogotá:1},{Colombia:1},{Los Angeles:1},{Dallas:1},{Geneva:2},{Switzerland:2},{Boston:1},{MA:1},{Chicago:3},{IL:3},{Rouen:1},{Montpellier:1},{Hartford:1},{Fort Worth:2}",,"Alfred Sisley,",,,,"Pierre-Auguste Renoir,Alfred Sisley,","['Italy', 'London', 'Sweden', 'Paris', 'Trouville-sur-Mer', 'Norway', 'Gennevilliers', 'Honfleur']","[]","Gustave Caillebotte"
"Henry Ossawa Tanner","Pittsburgh",1859,"6th arrondissement of Paris",1937,"male","United States of America","photographer,illustrator,painter,university teacher,graphic artist,printmaker,watercolorist,pastellist","Henry Ossawa Tanner","Henry Ossawa Tanner","American","Realism","Impressionism, Realism, Symbolism, Unknown","{Impressionism:37},{Realism:57},{Symbolism:4},{Unknown:3}","{Impressionism:37}, {Realism:59}, {Symbolism:4}","Impressionism:1893-1922,Realism:1876-1917,Symbolism:1907-1911","{Symbolism:1},{Modern art:1},{Realism:100}",1749,1950,101,"London, CA, Dallas, MO, US, Chicago, St. Louis, Washington DC, England, IL, Morocco, Hampton, IA, NJ, Los Angeles, Paris, Detroit, MI, Philadelphia, Des Moines, New Brunswick, VA, Los Angeles County Museum of Art, France, NY, Des Moines Art Center, PA, New York City, Kansas City","{London:1},{England:1},{Morocco:1},{Washington DC:7},{US:22},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:1},{Des Moines:2},{IA:2},{New York City:1},{NY:1},{St. Louis:1},{MO:2},{Dallas:1},{Des Moines Art Center:1},{Chicago:2},{IL:2},{New Brunswick:1},{NJ:1},{Philadelphia:3},{PA:3},{Detroit:1},{MI:1},{Paris:1},{France:1},{Kansas City:1},{Hampton:1},{VA:1}",,,,,,,"['Philadelphia', 'Pont-Aven', 'Paris']","[]","Henry Ossawa Tanner"
"John Singer Sargent","Florence",1856,"London",1925,"male","United States of America","architect,artist,painter,architectural draftsperson","John Singer Sargent","John Singer Sargent","American","Realism","Impressionism, Neoclassicism, Realism, Unknown","{Impressionism:317},{Neoclassicism:12},{Realism:460},{Unknown:10}","{Realism:468}, {Impressionism:316}, {Neoclassicism:12}","Realism:1872-1925,Impressionism:1874-1925,Neoclassicism:1895-1925","{Modern art:2},{Realism,Impressionism:796}",1852,1925,799,"Northampton, Chicago, Washington DC, NE, Pittsburgh, Glasgow, MA, MI, Florence, Boston, Dublin, VA, RI, Japan, NY, MD, Oxford, Massachusetts, UK, KS, Rochester, Melbourne, Baltimore, Omaha, Detroit, Buffalo, ME, Venice, Toledo, New Haven, France, OH, South Africa, United Kingdom, Rouen, United States, Tate Britain, Southampton, US, Andover, Israel, Museums, Edinburgh, Australia, Youngstown, Italy, Johannesburg, Paris, Philadelphia, Providence, Aberdeen, Birmingham, New York City, Hartford, London, Montpellier, CA, Dallas, Spain, PA, Richmond, Leeds, Asheville, Sheffield, Williamstown, England, IL, Cambridge, Bradford, Tokyo, Los Angeles, Tel Aviv, Norfolk, Ireland, Los Angeles County Museum of Art, Madrid, Fort Worth, NC","{London:42},{United Kingdom:1},{England:1},{United States:2},{Massachusetts:1},{Venice:1},{Italy:3},{Detroit:4},{MI:5},{US:126},{Chicago:3},{IL:3},{New Haven:3},{New York City:30},{NY:33},{Glasgow:3},{UK:58},{Tate Britain:19},{Rochester:2},{Madrid:3},{Spain:3},{Norfolk:1},{VA:2},{Aberdeen:3},{Boston:26},{MA:47},{Tel Aviv:1},{Israel:1},{Andover:3},{Cambridge:16},{Philadelphia:5},{PA:7},{Omaha:2},{NE:2},{Dublin:2},{Ireland:2},{Melbourne:1},{Australia:1},{Florence:2},{Los Angeles County Museum of Art:3},{Los Angeles:4},{CA:4},{Bradford:1},{Johannesburg:2},{South Africa:2},{Birmingham:1},{Oxford:1},{Providence:4},{RI:4},{Paris:3},{France:5},{Youngstown:1},{OH:3},{Dallas:1},{Tokyo:2},{Japan:1},{Toledo:1},{Asheville:5},{NC:5},{Edinburgh:1},{Pittsburgh:1},{Southampton:1},{Fort Worth:1},{Baltimore:1},{MD:1},{Hartford:2},{ME:1},{Leeds:1},{Rouen:1},{Montpellier:1},{Northampton:1},{Richmond:1},{Museums:1},{Sheffield:1},{Washington DC:1},{KS:1},{Williamstown:5},{Buffalo:1}",,"Tintoretto,Michelangelo,Titian,Diego Velazquez,Anthony van Dyck,Thomas Gainsborough,","Aaron Shikler,Pino Daeni,",,"Carolus-Duran,Leon Bonnat,","Julian Alden Weir,","['Nazareth', 'Florence', 'Newport', 'Cairo', 'Haarlem', 'Venice', 'Naples', 'London', 'Paris', 'Boston', 'Jerusalem', 'New York City', 'The Hague']","[]","John Singer Sargent"
"Mary Cassatt","Allegheny",1844,"Le Mesnil-Théribus",1926,"female","United States of America","photographer,painter,etcher,printmaker","Mary Cassatt","Mary Cassatt","American","Impressionism","Impressionism, Japonism, Realism, Unknown","{Impressionism:263},{Japonism:15},{Realism:24},{Unknown:4}","{Impressionism:278}, {Japonism:15}, {Realism:24}","Impressionism:1868-1915,Japonism:1889-1896,Realism:1868-1892","{American Impressionism:1},{Impressionism:302}",1868,1915,306,"NC, CA, Moscow, UK, KS, Farmington, Dallas, DE, Spain, Raleigh, Richmond, Switzerland, Leeds, Shelburne, US, Chicago, Washington DC, Williamstown, Baltimore, IL, NE, Cambridge, Bentonville, Omaha, Pittsburgh, Wichita, Lynchburg, Los Angeles, Wilmington, Glasgow, MA, Portland, Paris, Bordeaux, Detroit, Philadelphia, MI, ME, San Marino, AR, VT, Zürich, Bilbao, Boston, MFAH, TN, San Antonio, Houston, Russia, VA, Los Angeles County Museum of Art, CO, France, NY, MD, OH, PA, New York City, Denver","{France:14},{Zürich:2},{Switzerland:2},{Williamstown:2},{MA:4},{US:58},{Paris:9},{Bordeaux:3},{Dallas:1},{Baltimore:4},{MD:4},{Washington DC:4},{Lynchburg:1},{VA:2},{Wilmington:1},{DE:1},{San Antonio:1},{Farmington:1},{Chicago:9},{IL:9},{New York City:3},{NY:3},{Philadelphia:9},{PA:10},{Detroit:2},{MI:3},{ME:2},{Portland:1},{Denver:1},{CO:1},{San Marino:1},{CA:2},{Shelburne:2},{VT:2},{OH:1},{Bentonville:1},{AR:1},{Richmond:1},{Pittsburgh:1},{Bilbao:1},{Spain:1},{Moscow:1},{Russia:1},{TN:1},{Wichita:1},{KS:1},{Glasgow:1},{UK:2},{MFAH:1},{Houston:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{Omaha:1},{NE:1},{Leeds:1},{Boston:1},{Raleigh:1},{NC:1},{Cambridge:1}",,"Edgar Degas,Pierre-Auguste Renoir,",,,,"Edgar Degas,","['Barbizon', 'Philadelphia', 'Giverny', 'Egypt', 'Paris', 'Madrid', 'Le Mesnil-Théribus', 'Rome', 'Grasse']","[]","Mary Cassatt"
"Maurice Prendergast","St. John's",1858,"New York City",1924,"male","United States of America","painter,drawer","Maurice Prendergast","Maurice Prendergast","American","Post-Impressionism","Impressionism, Naïve Art (Primitivism), Pointillism, Post-Impressionism","{Impressionism:107},{Naïve Art (Primitivism):19},{Pointillism:7},{Post-Impressionism:246}","{Post-Impressionism:246}, {Impressionism:107}, {Pointillism:7}, {Naïve Art (Primitivism):19}","Post-Impressionism:1891-1923,Impressionism:1891-1913,Pointillism:1907-1915,Naïve Art (Primitivism):1907-1923","{Post-Impressionism:379}",1891,1923,379,"CA, Northampton, Canada, US, Chicago, Andover, Washington DC, Ottawa, IL, Pittsburgh, Youngstown, Los Angeles, MA, Detroit, MI, Boston, San Antonio, New Haven, Los Angeles County Museum of Art, NY, OH, PA, New York City","{New York City:14},{NY:14},{US:39},{Boston:1},{MA:8},{Washington DC:3},{Chicago:2},{IL:2},{New Haven:1},{Andover:6},{Detroit:1},{MI:2},{Pittsburgh:2},{PA:2},{Youngstown:1},{OH:4},{Ottawa:1},{Canada:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:1},{San Antonio:1},{Northampton:1}","Eight","Childe Hassam,",,,,,"['Boston', 'New York City', 'Rome', 'Venice', 'Paris']","['Boston:1861-1891', 'New York City:1896-1924', 'Rome:1898-1899', 'Venice:1898-1899', 'Paris:1907-1907,1891-1895,1914-1914']","Maurice Prendergast"
"Guo Xi","Wen County",1020,"Kaifeng",1090,"male","Song dynasty","writer,painter","Guo Xi","Guo Xi","Chinese","Northern Song Dynasty (960–1126)","Ink and wash painting, Unknown","{Ink and wash painting:6},{Unknown:1}","{Ink and wash painting:6}","Ink and wash painting:1072-1080","{Northern Song Dynasty (960–1126):7}",1072,1080,7,"Taiwan, Taipei","{Taipei:1},{Taiwan:1}",,,,,,,"[]","[]","Guo Xi"
"Wang Wei","Yongji",699,"Chang'an",759,"male","Tang dynasty","writer,poet,politician,musician,painter,calligrapher","Wang Wei","Wang Wei","Chinese","Tang Dynasty (618–907)","Ink and wash painting","{Ink and wash painting:4}","{Ink and wash painting:5}",,"{Tang Dynasty (618–907):5}",,,4,,,,,,,,,,,"Wang Wei"
"Wu Guanzhong","Yixing",1919,"Beijing",2010,"male","People's Republic of China","painter","Wu Guanzhong","Wu Guanzhong","Chinese","Republic of China (1912–1949)","Ink and wash painting, Post-Impressionism","{Ink and wash painting:36},{Post-Impressionism:11}","{Ink and wash painting:47}, {Post-Impressionism:11}, {Abstract Expressionism:23}, {Impressionism:7}","Ink and wash painting:1973-2008,Post-Impressionism:1978-2001,Abstract Expressionism:1983-2008,Impressionism:1973-2002","{Republic of China (1912–1949):47}",1973,2008,47,,,,,,,,,"[]","[]","Wu Guanzhong"
"Antonio Berni","Rosario",1905,"Buenos Aires",1981,"male","Argentina","painter,sculptor,muralist,printmaker","Antonio Berni","Antonio Berni",,"Social Realism","Junk Art, Kitsch, Muralism, Pop Art, Surrealism","{Junk Art:2},{Kitsch:1},{Muralism:4},{Pop Art:8},{Surrealism:3}",,,,,,18,,,,,,,,,"['Buenos Aires', 'Madrid', 'Paris']","[]","Antonio Berni"
"El Anatsui","Ghana",1944,,,"male","Ghana","painter,sculptor,university teacher,ceramicist,textile artist,installation artist","El Anatsui","El Anatsui","Ghanaian,Nigerian","Post-Minimalism","Junk Art, Native Art, Post-Minimalism","{Junk Art:8},{Native Art:1},{Post-Minimalism:8}","{Junk Art:14}, {Post-Minimalism:13}, {Native Art:3}","Junk Art:1993-2010,Post-Minimalism:1990-2010,Native Art:1990-1998","{Junk Art,Post-Minimalism:17}",1990,2010,17,"Los Angeles, US, CA, NY, New York City","{Los Angeles:1},{CA:1},{US:2},{New York City:1},{NY:1}",,,,,,,"['Nigeria']","[]","El Anatsui"
"John Chamberlain","Rochester",1927,"Manhattan",2011,"male","United States of America","photographer,patent inventor,painter,sculptor,filmmaker,drawer","John Chamberlain","John Chamberlain","American","Abstract Expressionism","Junk Art, Neo-Dada","{Junk Art:17},{Neo-Dada:8}","{Neo-Dada:8}, {Junk Art:17}, {Abstract Expressionism:6}","Neo-Dada:1969-2010,Junk Art:1957-2010,Abstract Expressionism:1957-1962","{Abstract Expressionism,Neo-Dada,Junk Art:25}",1957,2010,25,"US, New York, NY, United States, New York City","{New York:2},{United States:2},{New York City:1},{NY:1},{US:1}",,,,,,,"[]","[]","John Chamberlain"
"Abraham Palatnik","Natal",1928,"Rio de Janeiro",2020,"male","Brazil","artist,painter,glass artist","Abraham Palatnik","Abraham Palatnik","Jewish,Brazilian","Kinetic art","Kinetic Art, Op Art","{Kinetic Art:8},{Op Art:27}","{Op Art:27}, {Kinetic Art:11}","Op Art:1958-1977,Kinetic Art:1958-1999","{Kinetic art,Op Art:35}",1928,2004,35,,,,,,,,,"[]","[]","Abraham Palatnik"
"Carlos Cruz-Diez","Caracas",1923,"Neuilly-sur-Seine",2019,"male","France","painter,sculptor,jewelry designer,installation artist,serigrapher,light artist","Carlos Cruz-Diez","Carlos Cruz-Diez",,"Kinetic art","Kinetic Art, Op Art","{Kinetic Art:2},{Op Art:14}",,,,1977,1989,16,,,,,,,,,"['Paris', 'Panama City']","[]","Carlos Cruz Diez"
"Heinz Mack","Lollar",1931,,,"male","Germany","photographer,painter,sculptor,graphic artist,printmaker,drawer,kinetic artist","Heinz Mack","Heinz Mack","German","Kinetic art","Kinetic Art, Op Art","{Kinetic Art:3},{Op Art:13}","{Op Art:13}, {Kinetic Art:4}","Op Art:1957-2003,Kinetic Art:1963-1967","{Kinetic art,Op Art:16}",1957,2003,16,,,"Zero",,,,,"Bernard Aubertin,Oskar Holweck,","['Düsseldorf']","[]","Heinz Mack"
"Jean Tinguely","Fribourg",1925,"Bern",1991,"male","Switzerland","illustrator,painter,sculptor,graphic artist,visual artist,performance artist,installation artist,kinetic artist","Jean Tinguely","Jean Tinguely","Swiss","Kinetic art","Kinetic Art, Nouveau Réalisme","{Kinetic Art:3},{Nouveau Réalisme:20}","{Nouveau Réalisme:20}, {Kinetic Art:14}","Nouveau Réalisme:1955-1979,Kinetic Art:1954-1967","{Nouveau réalisme:1},{Modern art:1},{Contemporary art:1},{Kinetic art,Nouveau Réalisme:23}",1954,1979,23,,,"Zero",,,,,,"['Neyruz', 'Basel', 'Paris']","['Neyruz:1986-1986']","Jean Tinguely"
"Jesus Rafael Soto","Ciudad Bolívar",1923,"3rd arrondissement of Paris",2005,"male","France","painter,sculptor,jewelry designer","Jesús Rafael Soto","Jesus Rafael Soto","Venezuelan","Kinetic art","Kinetic Art, Op Art","{Kinetic Art:13},{Op Art:14}","{Op Art:14}, {Kinetic Art:17}","Op Art:1965-2005,Kinetic Art:1965-1995","{Kinetic art,Op Art:27}",1965,2005,27,,,"Zero",,,,,,"['France']","['France:1950-1950']","Jesus Rafael Soto"
"Julio Le Parc","Palmira",1928,,,"male","France","painter,sculptor,visual artist","Julio Le Parc","Julio Le Parc","Argentinean","Kinetic art","Kinetic Art, Op Art, Unknown","{Kinetic Art:12},{Op Art:22},{Unknown:1}","{Op Art:22}, {Kinetic Art:14}","Op Art:1970-1992,Kinetic Art:1963-1970","{Kinetic art,Op Art:35}",1928,1992,35,,,,,,,,,"['Paris', 'Buenos Aires']","[]","Julio Le Parc"
"Takis","Athens",1925,"Athens",2019,"male","Greece","sculptor,jewelry designer,drawer","Takis","Takis","French,Greek","Kinetic art","Kinetic Art","{Kinetic Art:14}","{Kinetic Art:14}","Kinetic Art:1957-1996","{Kinetic art:14}",1957,1996,14,,,,,,,,,"['Athens', 'Paris', 'Massachusetts', 'Greece']","['Paris:1953-1953,1974-1974', 'Massachusetts:1968-1968', 'Greece:1986-1986']","Takis"
"Isidore Isou","Botoșani",1925,"6th arrondissement of Paris",2007,"male","France","writer,poet,playwright,musician,painter,filmmaker,film director,film critic,philosopher,novelist","Isidore Isou","Isidore Isou","French,Jewish,Romanian","Lettrism","Lettrism","{Lettrism:20}","{Lettrism:20}","Lettrism:1950-1989","{Lettrism:20}",1950,1989,20,,,,,,,,,"[]","[]","Isidore Isou"
"Jo Baer","Seattle",1929,,,"female","United States of America","photographer,artist,painter,architectural draftsperson,drawer","Jo Baer","Jo Baer","American,Jewish","Minimalism","Lettrism, Minimalism, Pop Art, Unknown","{Lettrism:1},{Minimalism:14},{Pop Art:3},{Unknown:38}","{Minimalism:14}, {Lettrism:1}, {Pop Art:3}","Minimalism:1961-1977,Pop Art:1960-2004","{Minimalism:18}",1960,2004,56,"NY, New York City, US","{New York City:1},{NY:1},{US:1}",,,,,,,"['Los Angeles', 'United Kingdom', 'Amsterdam', 'Rotterdam']","[]","Jo Baer"
"Doug Wheeler",,1939,,,"male","United States of America","painter","Doug Wheeler","Doug Wheeler","American","Light and Space","Light and Space, Minimalism","{Light and Space:10},{Minimalism:1}","{Light and Space:10}, {Minimalism:1}","Light and Space:1965-2012,Minimalism:1964-1964","{Light and Space:11}",1964,2012,11,"Los Angeles, US, CA","{Los Angeles:1},{CA:1},{US:1}",,"Artists2/Doug Wheeler/Infinity Room Sa Mi 75 Dz Ny 12 2012.jpg,",,,,,"[]","[]","Doug Wheeler"
"Mary Corse","Berkeley",1945,,,"female","United States of America","artist,painter,sculptor,visual artist","Mary Corse","Mary Corse","American","Light and Space","Light and Space","{Light and Space:15}","{Light and Space:15}","Light and Space:1964-1978","{Light and Space:15}",1964,1978,15,,,,,,,,,"[]","[]","Mary Corse"
"Nanda Vigo","Milan",1936,"Milan",2020,"female","Italy","architect,designer","Nanda Vigo","Nanda Vigo","Italian","Spatialism","Light and Space, Minimalism, Spatialism","{Light and Space:4},{Minimalism:5},{Spatialism:1}","{Light and Space:4}, {Minimalism:5}, {Spatialism:1}","Light and Space:1983-1993,Minimalism:1969-1985,Spatialism:1971-1971","{Spatialism,Minimalism:10}",1969,2016,10,,,"Zero",,,,,,"[]","[]","Nanda Vigo"
"Olafur Eliasson","Copenhagen",1967,,,"male","Kingdom of Denmark","visual artist","Olafur Eliasson","Olafur Eliasson",,"Light and Space","Light and Space, Neo-Minimalism, Post-Minimalism","{Light and Space:8},{Neo-Minimalism:3},{Post-Minimalism:8}",,,,2004,2008,19,,,,,,,,,"['Berlin', 'Copenhagen']","[]","Olafur Eliasson"
"Robert Irwin","Guildford",1946,"London",2024,"male","United Kingdom","writer,historian,arabist,novelist,naturalist,inventor,plumber,zookeeper,conservationist,herpetologist,politician,artist,painter,scenographer,installation artist,businessperson,educator,executive,photographer,television presenter,television actor","Robert Irwin","Robert Irwin","American","Light and Space","Light and Space","{Light and Space:12}","{Light and Space:12}","Light and Space:1965-2012","{Light and Space,Environmental Art:12}",1965,2012,12,,,,,,,,,"[]","[]","Robert Irwin"
"Kenny Scharf","Hollywood",1958,,,"male","United States of America","artist,painter,sculptor,performance artist,graffiti artist","Kenny Scharf","Kenny Scharf",,"Lowbrow Art","Lowbrow Art","{Lowbrow Art:15}",,,,2011,2013,15,"Los Angeles, Pasadena, new york, New York, Culver City, East Union Street, California, Philadelphia, PA","{New York:1},{new york:1},{East Union Street:43},{Pasadena:43},{California:43},{Culver City:2},{Los Angeles:1},{Philadelphia:1},{PA:1}",,,,,,,"['New York City', 'Los Angeles']","[]","Kenny Scharf"
"Kazuaki Tanahashi","Japan",1933,,,"male","Japan","writer,translator,poster artist,calligrapher","Kazuaki Tanahashi","Kazuaki Tanahashi","Japanese","Contemporary","Lyrical Abstraction, Zen","{Lyrical Abstraction:16},{Zen:17}","{Lyrical Abstraction:32}, {Zen:17}","Lyrical Abstraction:1997-2011,Zen:2000-2011","{Contemporary,Shōwa period (1926–1989):33}",1997,2011,33,,,,,,,,,"[]","[]","Kazuaki Tanahashi"
"Otto Piene","Bad Laasphe",1928,"Berlin",2014,"male","Germany","painter,sculptor,drawer","Otto Piene","Otto Piene","German","Kinetic art","Lyrical Abstraction, Op Art, Post-Minimalism, Sky Art","{Lyrical Abstraction:1},{Op Art:1},{Post-Minimalism:2},{Sky Art:3}","{Sky Art:3}, {Lyrical Abstraction:1}, {Post-Minimalism:2}, {Op Art:1}","Sky Art:1970-2008,Lyrical Abstraction:1972-1972,Post-Minimalism:1958-1966,Op Art:1959-1959","{Kinetic art,Post-Minimalism:7}",1958,2008,7,,,"Zero",,,,,"Bernard Aubertin,Oskar Holweck,","['Düsseldorf', 'Cambridge']","[]","Otto Piene"
"Antonio Donghi","Rome",1897,"Rome",1963,"male","Italy","painter","Antonio Donghi","Antonio Donghi","Italian","Neoclassicism","Magic Realism, Neoclassicism, Unknown","{Magic Realism:18},{Neoclassicism:4},{Unknown:1}","{Magic Realism:21}, {Neoclassicism:4}","Magic Realism:1923-1946,Neoclassicism:1930-1930","{Neoclassicism,Magic Realism:24}",1923,1946,23,,,,,,,,,"[]","[]","Antonio Donghi"
"Cagnaccio di San Pietro","Desenzano del Garda",1897,"Venice",1946,"male","Kingdom of Italy","painter","Cagnaccio di San Pietro","Cagnaccio di San Pietro",,"Magic Realism","Magic Realism","{Magic Realism:17}",,,,1926,1943,17,,,,,,,,,"['Venice']","['Venice:1910-1946']","Cagnaccio Di San Pietro"
"Leonor Fini","Buenos Aires",1907,"Aubervilliers",1996,"female","France","writer,engraver,author,artist,illustrator,painter,costume designer,jewelry designer,scenographer,designer","Leonor Fini","Leonor Fini","Argentinean","Surrealism","Magic Realism, Neo-Romanticism, Surrealism","{Magic Realism:6},{Neo-Romanticism:2},{Surrealism:10}","{Surrealism:10}, {Magic Realism:12}, {Neo-Romanticism:2}","Surrealism:1935-1986,Magic Realism:1938-1985,Neo-Romanticism:1938-1941","{Surrealism:18}",1935,1986,18,,,,,,,,,"['Trieste', 'Rome', 'Paris', 'Milan']","[]","Leonor Fini"
"Peter Doig","Edinburgh",1959,,1996,"male","United Kingdom","artist,painter,drawer,politician,trade unionist","Peter Doig","Peter Doig",,"Magic Realism","Magic Realism","{Magic Realism:42}",,,,2001,2002,42,,,,,,,,,"['London']","[]","Peter Doig"
"Zhang Xiaogang","Kunming",1958,,,"male","People's Republic of China","painter,politician","Zhang Xiaogang","Zhang Xiaogang",,"Contemporary","Magic Realism","{Magic Realism:16}",,,,1988,2010,16,,,,,,,,,"[]","[]","Zhang Xiaogang"
